,TimeStamp,(140.7468006 41.8188869),(140.4396435 40.5942053),(141.7627117 40.1916885),(140.8733429 38.2932172),(140.957261 37.6422006),(140.5346664 36.3965854),(140.4021967 36.555081),(139.9744275 35.9510748),(139.7422865 36.2305774),(139.0960211 36.4047323),(138.9138437 36.323256),(139.1103334 36.2974922),(139.7638423 35.93410739999999),(139.2619009 36.0594871),(140.138552 35.611391),(139.993363 35.6771308),(139.9382318 35.374032),(140.1460666 35.3335387),(139.6624281 35.4151966),(139.3678037 35.4666052),(139.466145 35.4718748),(139.3908038 35.446427),(137.2331301 36.7425277),(136.655011 36.5720051),(138.5998848 35.1758502),(137.7915988 34.7918944),(136.8127001 35.1404408),(135.5188107 34.7919888),(135.0986062 34.6935289),(134.7906399 34.7659515),(135.790301 34.509211),(135.7079001 34.6916695),(133.7758944 34.6007931),(133.9318657 34.4600964),(134.2940462 34.7473902),(132.5621196 34.233441),(132.2165637 34.1698473),(130.601994 32.507843),(130.6384926 32.5010333),(127.7235186 26.2674837)
15,2022-04-01 16:00:00,5.0,NaN,NaN,NaN,11.0,NaN,7.0,NaN,NaN,NaN,NaN,17.0,NaN,NaN,5.0,7.0,4.0,NaN,NaN,5.0,7.0,3.0,7.0,10.0,4.0,7.0,10.0,NaN,3.0,7.0,8.0,4.0,NaN,9.0,9.0,NaN,NaN,NaN,NaN,NaN
16,2022-04-01 17:00:00,10.0,NaN,NaN,NaN,5.0,NaN,8.0,NaN,NaN,NaN,NaN,-2.0,NaN,NaN,7.0,7.0,9.0,NaN,NaN,6.0,5.0,5.0,5.0,8.0,5.0,10.0,1.0,NaN,8.0,7.0,8.0,4.0,NaN,8.0,9.0,NaN,NaN,NaN,NaN,NaN
17,2022-04-01 18:00:00,9.0,NaN,NaN,NaN,2.0,NaN,7.0,NaN,NaN,NaN,NaN,7.0,NaN,NaN,8.0,7.0,9.0,NaN,NaN,7.0,7.0,8.0,12.0,9.0,5.0,11.0,3.0,NaN,13.0,4.0,8.0,4.0,NaN,8.0,6.0,NaN,NaN,NaN,NaN,NaN
18,2022-04-01 19:00:00,1.0,NaN,NaN,NaN,NaN,NaN,7.0,NaN,NaN,NaN,NaN,10.0,NaN,NaN,9.0,7.0,8.0,NaN,NaN,8.0,6.0,8.0,6.0,11.0,4.0,12.0,5.0,NaN,11.0,6.0,8.0,NaN,NaN,5.0,3.0,NaN,NaN,NaN,NaN,NaN
19,2022-04-01 20:00:00,8.0,NaN,NaN,NaN,NaN,NaN,7.0,NaN,NaN,NaN,NaN,-3.0,NaN,NaN,7.0,5.0,8.0,NaN,NaN,6.0,8.0,10.0,6.0,9.0,7.0,13.0,6.0,NaN,11.0,6.0,9.0,5.0,NaN,4.0,7.0,NaN,NaN,NaN,NaN,NaN
20,2022-04-01 21:00:00,2.0,NaN,NaN,NaN,5.0,NaN,8.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,8.0,7.0,6.0,NaN,NaN,7.0,9.0,9.0,9.0,10.0,4.0,11.0,0.0,NaN,4.0,6.0,9.0,7.0,NaN,5.0,1.0,NaN,NaN,NaN,NaN,NaN
21,2022-04-01 22:00:00,7.0,NaN,NaN,NaN,4.0,NaN,5.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,7.0,9.0,11.0,NaN,NaN,10.0,7.0,8.0,8.0,9.0,9.0,10.0,0.0,NaN,7.0,10.0,9.0,5.0,NaN,7.0,2.0,NaN,NaN,NaN,NaN,NaN
22,2022-04-01 23:00:00,1.0,NaN,NaN,NaN,3.0,NaN,6.0,NaN,NaN,NaN,NaN,10.0,NaN,NaN,6.0,7.0,13.0,NaN,NaN,8.0,6.0,7.0,6.0,7.0,9.0,9.0,9.0,NaN,11.0,8.0,9.0,6.0,NaN,4.0,0.0,NaN,NaN,NaN,NaN,NaN
23,2022-04-02 00:00:00,7.0,NaN,NaN,NaN,5.0,NaN,6.0,NaN,NaN,NaN,NaN,-3.0,NaN,NaN,8.0,8.0,18.0,NaN,NaN,9.0,8.0,11.0,7.0,7.0,1.0,9.0,10.0,NaN,12.0,6.0,7.0,6.0,NaN,3.0,5.0,NaN,NaN,NaN,NaN,NaN
24,2022-04-02 01:00:00,7.0,NaN,NaN,NaN,5.0,NaN,6.0,NaN,NaN,NaN,NaN,11.0,NaN,NaN,7.0,5.0,17.0,NaN,NaN,8.0,9.0,10.0,9.0,9.0,8.0,10.0,0.0,NaN,10.0,8.0,7.0,4.0,NaN,2.0,6.0,NaN,NaN,NaN,NaN,NaN
25,2022-04-02 02:00:00,14.0,NaN,NaN,NaN,6.0,NaN,5.0,NaN,NaN,NaN,NaN,-4.0,NaN,NaN,3.0,7.0,19.0,NaN,NaN,8.0,8.0,11.0,7.0,9.0,9.0,8.0,13.0,NaN,4.0,10.0,8.0,5.0,NaN,1.0,3.0,NaN,NaN,NaN,NaN,NaN
26,2022-04-02 03:00:00,11.0,NaN,NaN,NaN,6.0,NaN,7.0,NaN,NaN,NaN,NaN,2.0,NaN,NaN,10.0,7.0,15.0,NaN,NaN,7.0,5.0,8.0,9.0,7.0,9.0,10.0,10.0,NaN,6.0,8.0,8.0,5.0,NaN,2.0,5.0,NaN,NaN,NaN,NaN,NaN
27,2022-04-02 04:00:00,14.0,NaN,NaN,NaN,6.0,NaN,5.0,NaN,NaN,NaN,NaN,6.0,NaN,NaN,9.0,4.0,15.0,NaN,NaN,10.0,7.0,9.0,8.0,11.0,9.0,10.0,4.0,NaN,5.0,7.0,7.0,5.0,NaN,3.0,2.0,NaN,NaN,NaN,NaN,NaN
28,2022-04-02 05:00:00,14.0,NaN,NaN,NaN,8.0,NaN,9.0,NaN,NaN,NaN,NaN,3.0,NaN,NaN,10.0,7.0,16.0,NaN,NaN,9.0,6.0,9.0,5.0,8.0,8.0,11.0,5.0,NaN,10.0,8.0,6.0,5.0,NaN,4.0,3.0,NaN,NaN,NaN,NaN,NaN
29,2022-04-02 06:00:00,9.0,NaN,NaN,NaN,4.0,NaN,8.0,NaN,NaN,NaN,NaN,13.0,NaN,NaN,9.0,6.0,16.0,NaN,NaN,12.0,7.0,7.0,10.0,9.0,9.0,9.0,5.0,NaN,5.0,8.0,8.0,6.0,NaN,5.0,7.0,NaN,NaN,NaN,NaN,NaN
30,2022-04-02 07:00:00,8.0,NaN,NaN,NaN,12.0,NaN,4.0,NaN,NaN,NaN,NaN,4.0,NaN,NaN,1.0,9.0,16.0,NaN,NaN,11.0,7.0,7.0,9.0,10.0,9.0,9.0,12.0,NaN,4.0,6.0,6.0,8.0,NaN,5.0,4.0,NaN,NaN,NaN,NaN,NaN
31,2022-04-02 08:00:00,3.0,NaN,NaN,NaN,17.0,NaN,3.0,NaN,NaN,NaN,NaN,11.0,NaN,NaN,5.0,11.0,8.0,NaN,NaN,9.0,6.0,6.0,7.0,9.0,12.0,11.0,7.0,NaN,7.0,10.0,8.0,4.0,NaN,5.0,-5.0,NaN,NaN,NaN,NaN,NaN
32,2022-04-02 09:00:00,9.0,NaN,NaN,NaN,20.0,NaN,2.0,NaN,NaN,NaN,NaN,8.0,NaN,NaN,8.0,4.0,9.0,NaN,NaN,5.0,9.0,4.0,7.0,10.0,5.0,7.0,1.0,NaN,11.0,9.0,7.0,8.0,NaN,5.0,4.0,NaN,NaN,NaN,NaN,NaN
33,2022-04-02 10:00:00,12.0,NaN,NaN,NaN,20.0,NaN,4.0,NaN,NaN,NaN,NaN,-2.0,NaN,NaN,10.0,5.0,12.0,NaN,NaN,10.0,10.0,7.0,5.0,11.0,13.0,7.0,4.0,NaN,5.0,8.0,7.0,6.0,NaN,5.0,16.0,NaN,NaN,NaN,NaN,NaN
34,2022-04-02 11:00:00,3.0,NaN,NaN,NaN,15.0,NaN,NaN,NaN,NaN,NaN,NaN,6.0,NaN,NaN,11.0,6.0,11.0,NaN,NaN,7.0,10.0,8.0,7.0,10.0,9.0,9.0,9.0,NaN,13.0,11.0,9.0,9.0,NaN,5.0,17.0,NaN,NaN,NaN,NaN,NaN
35,2022-04-02 12:00:00,4.0,NaN,NaN,NaN,10.0,NaN,2.0,NaN,NaN,NaN,NaN,10.0,NaN,NaN,9.0,7.0,16.0,NaN,NaN,7.0,11.0,11.0,7.0,11.0,11.0,9.0,13.0,NaN,14.0,11.0,11.0,7.0,NaN,5.0,21.0,NaN,NaN,NaN,NaN,NaN
36,2022-04-02 13:00:00,7.0,NaN,NaN,NaN,12.0,NaN,3.0,NaN,NaN,NaN,NaN,1.0,NaN,NaN,8.0,4.0,13.0,NaN,NaN,6.0,12.0,10.0,5.0,10.0,13.0,9.0,9.0,NaN,8.0,12.0,8.0,9.0,NaN,5.0,24.0,NaN,NaN,NaN,NaN,NaN
37,2022-04-02 14:00:00,5.0,NaN,NaN,NaN,10.0,NaN,8.0,NaN,NaN,NaN,NaN,0.0,NaN,NaN,9.0,6.0,13.0,NaN,NaN,8.0,10.0,9.0,7.0,10.0,12.0,10.0,-3.0,NaN,5.0,10.0,7.0,8.0,NaN,5.0,28.0,17.0,NaN,NaN,NaN,NaN
38,2022-04-02 15:00:00,0.0,NaN,NaN,NaN,8.0,NaN,1.0,NaN,NaN,NaN,NaN,7.0,NaN,NaN,8.0,6.0,13.0,NaN,NaN,9.0,14.0,11.0,7.0,13.0,12.0,11.0,9.0,NaN,11.0,11.0,7.0,8.0,NaN,6.0,15.0,10.0,NaN,NaN,NaN,NaN
39,2022-04-02 16:00:00,5.0,NaN,NaN,NaN,10.0,NaN,9.0,NaN,NaN,NaN,NaN,4.0,NaN,NaN,11.0,9.0,9.0,NaN,NaN,11.0,10.0,8.0,10.0,22.0,14.0,13.0,6.0,NaN,6.0,12.0,9.0,8.0,NaN,6.0,14.0,14.0,NaN,NaN,NaN,NaN
